,id,Comuna,N_Habitaciones,N_Baños,N_Estacionamientos,Amoblado,Total_Superficie_M2,Valor_UF,Link,colUF/m2,Tasa cada 100Mil,Rango,closest_metro,dist_closest_metro,closest_super,closest_super_dist
48,51,Maipú,3.0,1.0,1.0,No,253.0,4725.9,https://chilepropiedades.cl/ver-publicacion/venta-usada/maipu/casa/maipu-region-metropolitana/5900349,19.0,370.9,medio,PLAZA DE MAIPU,0.1668376420240113,Lider,1.14396786841417
49,52,Las Condes,4.0,4.0,5.0,No,580.0,18000.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/las-condes/casa/roncesvalles/6400375,31.0,465.6,medio,MANQUEHUE,0.809704435118489,Artesanos,0.6857645558186778
50,53,Cerro Navia,4.0,1.0,2.443019943019943,,74.4,1600.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/cerro-navia/casa/serrano-1692/6689153,22.0,423.0,medio,PUDAHUEL,3.605325444141157,Catamarca,1.7175398494502885
51,54,Quinta Normal,3.0,2.0,2.443019943019943,No,205.0,3780.72,https://chilepropiedades.cl/ver-publicacion/venta-usada/quinta-normal/casa/casa-2-pisos-en-q-normal/6618228,18.0,745.1,alto,GRUTA DE LOURDES,1.3584541712206493,San Pablo,1.3192456957593734
52,55,Maipú,3.0,2.0,2.443019943019943,No,90.0,2900.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/maipu/casa/maipu-region-metropolitana/6604189,32.0,370.9,medio,PLAZA DE MAIPU,0.1668376420240113,Lider,1.14396786841417
53,56,Buin,3.0,2.0,1.0,,155.0,3600.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/buin/casa/tulio-parra-perez/6452882,23.0,435.1,medio,PLAZA DE PUENTE ALTO,19.25734905393828,Unimarc,11.243322225447594
54,57,Puente Alto,3.0,1.0,1.0,No,65.0,1827.35,https://chilepropiedades.cl/ver-publicacion/venta-usada/puente-alto/casa/las-castanuelas-3535/6512394,28.0,369.1,medio,PLAZA DE PUENTE ALTO,4.849466863232254,Unimarc,4.665894358416228
55,58,La Reina,4.0,3.0,2.443019943019943,No,2005.0,32390.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/julia-bernsteinmaria-monvel/6729279,16.0,565.4,alto,FERNANDO CASTILLO VELASCO,2.1629950938800966,Lider,0.9437413907081876
56,59,Pudahuel,5.0,4.0,2.0,No,100.0,3465.66,https://chilepropiedades.cl/ver-publicacion/venta-usada/pudahuel/casa/pudahuel-region-metropolitana/6456667,35.0,471.9,medio,PUDAHUEL,1.3801673247512911,Unimarc,1.3172295369312623
57,60,Las Condes,3.0,1.0,2.443019943019943,No,160.0,9136.74,https://chilepropiedades.cl/ver-publicacion/venta-usada/las-condes/casa/bocacciolas-condes/6623708,57.0,465.6,medio,HERNANDO DE MAGALLANES,1.1168519404402788,Apoquindo,1.03334677004916
58,61,Las Condes,5.0,4.0,2.0,,480.0,23000.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/las-condes/casa/cam-de-las-nieves-1466/6838017,48.0,465.6,medio,LOS DOMINICOS,3.176737799882761,Jumbo La Reina ,2.202075987816931
59,62,Puente Alto,3.0,2.0,2.0,Sí,78.0,4662.89,https://chilepropiedades.cl/ver-publicacion/venta-usada/puente-alto/casa/las-perdices-puente-alto/6614821,60.0,369.1,medio,LOS QUILLAYES,2.5871938998602864,Mall Plaza Tobalaba ,0.787471806533486
