,id,Comuna,N_Habitaciones,N_Baños,N_Estacionamientos,Amoblado,Total_Superficie_M2,Valor_UF,Link,colUF/m2,Tasa cada 100Mil,Rango
31,34,Vitacura,4.0,4.0,3.0,No,300.0,17000.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/vitacura/casa/la-llaveria-1763/5813458,57.0,593.7,alto
32,35,Quilicura,4.0,1.0,1.0,No,74.0,2457.47,https://chilepropiedades.cl/ver-publicacion/venta-usada/quilicura/casa/villa-los-compositores/6501607,33.0,409.6,medio
33,36,Lo Barnechea,4.0,7.0,4.0,No,1000.0,38000.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/lo-barnechea/casa/camino-la-loica/3507346,38.0,276.8,bajo
34,37,Santiago,4.0,3.0,2.0,,260.0,10800.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/casa/cueto-con-catedral/6328970,42.0,1183.1,crítico
35,38,La Florida,4.0,6.0,2.443019943019943,No,1780.0,18700.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-florida/casa/lo-canaslas-araucarias/5899618,11.0,541.5,alto
36,39,Peñalolén,4.0,4.0,2.0,No,432.0,11750.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/penalolen/casa/casa-grande-sector-el-valle-penalolen/6440629,27.0,415.5,medio
37,40,La Florida,4.0,4.0,2.0,,258.88,9900.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-florida/casa/rojas-magallanes-araucania/3988745,38.0,541.5,alto
38,41,Santiago,3.0,3.0,1.0,,1125.9585436648158,4095.78,https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/casa/lomas-de-eyzaguirre/6797712,4.0,1183.1,crítico
39,42,Til til,8.0,3.0,2.443019943019943,No,1100.0,4883.43,https://chilepropiedades.cl/ver-publicacion/venta-usada/til-til/casa/dario-ovallemanuel-rodriguez/6426517,4.0,385.6,medio
40,43,Colina,3.0,3.0,3.0,No,350.0,11790.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/chicureo-poniente-colegio-pumahue/5260810,34.0,421.3,medio
41,44,Melipilla,4.0,1.0,2.443019943019943,No,740.0,6300.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/melipilla/casa/casa-en-melipilla/5803436,9.0,474.3,medio
42,45,La Florida,2.0,1.0,1.0,No,85.0,2678.01,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-florida/casa/la-florida-region-metropolitana/6425368,32.0,541.5,alto
43,46,Lo Barnechea,4.0,4.0,2.443019943019943,No,1600.0,32600.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/lo-barnechea/casa/cerro-punta-de-damas/6459064,20.0,276.8,bajo
44,47,Lo Barnechea,5.0,2.630757613893783,4.0,No,908.0,24900.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/lo-barnechea/casa/los-refugios-del-arrayan/6702919,27.0,276.8,bajo
