Tipo de Información;Comuna;Frecuencia;Tasa cada 100Mil;Rango
Casos Policiales;Alhué;20;270,1;bajo
Casos Policiales;Buin;456;415,9;medio
Casos Policiales;Calera de Tango;111;389,1;medio
Casos Policiales;Cerrillos;632;710,5;crítico
Casos Policiales;Cerro Navia;457;320,8;medio
Casos Policiales;Colina;736;408,1;medio
Casos Policiales;Conchalí;723;519,4;alto
Casos Policiales;Curacaví;150;411,7;medio
Casos Policiales;El Bosque;686;398,8;medio
Casos Policiales;El Monte;117;292,4;bajo
Casos Policiales;Estación Central;1121;542,1;alto
Casos Policiales;Huechuraba;524;465,7;alto
Casos Policiales;Independencia;670;471,6;alto
Casos Policiales;Isla de Maipo;95;236,5;bajo
Casos Policiales;La Cisterna;774;770,7;crítico
Casos Policiales;La Florida;2102;522,3;alto
Casos Policiales;La Granja;595;485,5;alto
Casos Policiales;La Pintana;771;407,2;medio
Casos Policiales;La Reina;457;455,9;alto
Casos Policiales;Lampa;531;418,4;medio
Casos Policiales;Las Condes;776;234,6;bajo
Casos Policiales;Lo Barnechea;287;231,3;bajo
Casos Policiales;Lo Espejo;606;583,4;crítico
Casos Policiales;Lo Prado;487;466,5;alto
Casos Policiales;Macul;821;609,8;crítico
Casos Policiales;Maipú;2122;366,7;medio
Casos Policiales;María Pinto;51;341,7;medio
Casos Policiales;Melipilla;737;520,4;alto
Casos Policiales;Ñuñoa;1086;434,1;medio
Casos Policiales;Padre Hurtado;209;281,7;bajo
Casos Policiales;Paine;283;341,9;medio
Casos Policiales;Pedro Aguirre Cerda;559;518,5;alto
Casos Policiales;Peñaflor;368;364,1;medio
Casos Policiales;Peñalolén;975;365,4;medio
Casos Policiales;Pirque;103;338,4;medio
Casos Policiales;Providencia;931;590,2;crítico
Casos Policiales;Pudahuel;1111;438,9;medio
Casos Policiales;Puente Alto;2187;338,6;medio
Casos Policiales;Quilicura;985;386,7;medio
Casos Policiales;Quinta Normal;724;530,9;alto
Casos Policiales;Recoleta;1466;771,3;crítico
Casos Policiales;Renca;761;473,1;alto
Casos Policiales;San Bernardo;1947;581,5;crítico
Casos Policiales;San Joaquín;506;489;alto
Casos Policiales;San José de Maipo;57;305,7;bajo
Casos Policiales;San Miguel;976;733,5;crítico
Casos Policiales;San Pedro;44;368,1;medio
Casos Policiales;San Ramón;311;359,5;medio
Casos Policiales;Santiago;3250;645,9;crítico
Casos Policiales;Talagante;322;393,5;medio
Casos Policiales;Tiltil;84;391,1;medio
Casos Policiales;Vitacura;415;428,8;medio
